"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Reference Designator","Packaging","Part Status","Quantity","Unit Price","Extended Price","Quantity Available","Mfg Std Lead Time","Description","RoHS Status","Lead Free Status","REACH Status"
"ECS-120-20-4","ECS Inc.","X227-ND","","","Bulk","Active","1","0.69000","$0.69","1841","11 Weeks","CRYSTAL 12.0000MHZ 20PF T/H","RoHS non-compliant","Contains lead","REACH Unaffected"
"2041021-4","TE Connectivity AMP Connectors","A101492CT-ND","","","Cut Tape (CT)","Active","1","3.44000","$3.44","2862","11 Weeks","CONN SD CARD PUSH-PULL R/A SMD","RoHS Compliant","Lead free","Not Available"
"1825115-1","TE Connectivity ALCOSWITCH Switches","450-1598-ND","","","Bulk","Active","2","0.98000","$1.96","6704","4 Weeks","SWITCH SLIDE SPDT 250MA 125V","RoHS Compliant","Lead free","Not Available"
"0670688011","Molex, LLC","WM12785-ND","","","Tube","Active","1","2.06000","$2.06","1595","12 Weeks","USB B CONN WITH KINK BOARD LOCK","RoHS Compliant","Lead free","REACH Unaffected"
"16ZLH680MEFC10X12.5","Rubycon","1189-1150-ND","","","Bulk","Active","1","0.43000","$0.43","6198","17 Weeks","CAP ALUM 680UF 20% 16V RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"AIUR-16-330K","Abracon LLC","AIUR-16-330K-ND","","","Box","Active","1","0.78000","$0.78","892","11 Weeks","FIXED IND 33UH 800MA 90 MOHM TH","RoHS Compliant","Lead free","REACH Unaffected"
"LM2596S-5.0/NOPB","Texas Instruments","LM2596S-5.0/NOPB-ND","","","Tube","Active","1","5.72000","$5.72","771","12 Weeks","IC REG BUCK 5V 3A TO263-5","RoHS Compliant","Contains lead","REACH Unaffected"
"RDER71H684K2P1H03B","Murata Electronics North America","490-8861-ND","","","Bulk","Active","2","0.73000","$1.46","516","11 Weeks","CAP CER 0.68UF 50V X7R RADIAL","RoHS Compliant","Lead free","REACH Unaffected"
"PJ-002A","CUI Inc.","CP-002A-ND","","","Bag","Active","1","0.60000","$0.60","125564","Not Available","CONN PWR JACK 2X5.5MM SOLDER","RoHS Compliant","Lead free","Not Available"
"MBR0580S1-7","Diodes Incorporated","MBR0580S1-7DICT-ND","","","Cut Tape (CT)","Active","1","0.31000","$0.31","91396","Not Available","DIODE SCHOTTKY 80V 500MA SOD123","RoHS Compliant","Lead free","REACH Unaffected"
"K103K15X7RF5TL2","Vishay BC Components","BC1078CT-ND","","","Cut Tape (CT)","Active","1","0.19000","$0.19","23886","8 Weeks","CAP CER 10000PF 50V X7R RADIAL","RoHS Compliant","Lead free","Not Available"
